"wbm.access","पहुँच"
"wbm.act-ranking","एसीटी रैंकिंग"
"wbm.adhering-to-societal-conventions","सामाजिक परंपराओं का पालन"
"wbm.anti-bribery-and-anti-corruption-fundamentals","रिश्वत विरोधी और भ्रष्टाचार विरोधी बुनियादी बातें"
"wbm.assessing-human-rights-risks-and-impacts","मानवाधिकार जोखिमों और प्रभावों का आकलन"
"wbm.band","बैंड"
"wbm.benchmark-ranking","बेंचमार्क रैंकिंग"
"wbm.benchmark-year","बेंचमार्क वर्ष"
"wbm.capacity-building","क्षमता निर्माण"
"wbm.collective-bargaining-fundamentals","सामूहिक सौदेबाजी के मूल सिद्धांत"
"wbm.commitment-to-respect-human-rights","मानवाधिकारों का सम्मान करने की प्रतिबद्धता"
"wbm.commitment-to-respect-the-human-rights-of-workers","श्रमिकों के मानवाधिकारों का सम्मान करने की प्रतिबद्धता"
"wbm.company-sector","कंपनी क्षेत्र"
"wbm.core-social-score","मुख्य सामाजिक स्कोर"
"wbm.corporate","निगमित"
"wbm.csi","सीएसआई"
"wbm.decent-work","सभ्य काम"
"wbm.dib-rank","डीआईबी रैंक"
"wbm.dib-score","डीआईबी स्कोर"
"wbm.ecosystems","पारिस्थितिकी तंत्र"
"wbm.ecosystems-and-biodiversity","पारिस्थितिकी तंत्र और जैव विविधता"
"wbm.embedding-respect-and-human-rights-due-diligence","सम्मान और मानवाधिकारों का समुचित परिश्रम सुनिश्चित करना"
"wbm.engaging-with-affected-and-potentially-affected-stakeholders","प्रभावित और संभावित रूप से प्रभावित हितधारकों के साथ जुड़ाव"
"wbm.environment","पर्यावरण"
"wbm.ethical-conduct","नैतिक आचरण"
"wbm.filing-name","फ़ाइल नाम"
"wbm.fundamentals-of-creating-and-providing-or-supporting-access-to-green-and-decent-jobs-for-an-inclusive-and-balanced-workforce","समावेशी और संतुलित कार्यबल के लिए हरित और सभ्य नौकरियों तक पहुंच बनाने और प्रदान करने या समर्थन करने की बुनियादी बातें"
"wbm.fundamentals-of-just-transition-planning","न्यायसंगत परिवर्तन योजना के मूल सिद्धांत"
"wbm.fundamentals-of-social-dialogue-and-stakeholder-engagement-in-a-just-transition","न्यायसंगत परिवर्तन में सामाजिक संवाद और हितधारक जुड़ाव के मूल सिद्धांत"
"wbm.fundamentals-of-social-protection-and-social-impact-management-for-a-just-transition","न्यायसंगत परिवर्तन के लिए सामाजिक सुरक्षा और सामाजिक प्रभाव प्रबंधन के मूल सिद्धांत"
"wbm.genetic-resources-and-intellectual-property-management","आनुवंशिक संसाधन और बौद्धिक संपदा प्रबंधन"
"wbm.governance-and-policy-commitments","शासन और नीति प्रतिबद्धताएँ"
"wbm.governance-and-strategy","शासन और रणनीति"
"wbm.grievance-mechanisms-for-external-individuals-and-communities","बाहरी व्यक्तियों और समुदायों के लिए शिकायत तंत्र"
"wbm.grievance-mechanisms-for-workers","श्रमिकों के लिए शिकायत तंत्र"
"wbm.health-and-safety-fundamentals","स्वास्थ्य और सुरक्षा के बुनियादी सिद्धांत"
"wbm.human-rights","मानव अधिकार"
"wbm.identifying-human-rights-risks-and-impacts","मानवाधिकार जोखिमों और प्रभावों की पहचान करना"
"wbm.innovation","नवाचार"
